eventId;rand;coloana;cod;tipBilet;status
2;0;0;A1;VIP;LIBER
2;0;1;A2;VIP;LIBER
2;0;2;A3;VIP;LIBER
2;0;3;A4;VIP;LIBER
2;0;4;A5;VIP;VANDUT
2;0;5;A6;VIP;VANDUT
2;0;6;A7;VIP;LIBER
2;0;7;A8;VIP;LIBER
2;0;8;A9;VIP;LIBER
2;0;9;A10;VIP;LIBER
2;1;0;B1;VIP;LIBER
2;1;1;B2;VIP;LIBER
2;1;2;B3;VIP;LIBER
2;1;3;B4;VIP;LIBER
2;1;4;B5;VIP;LIBER
2;1;5;B6;VIP;LIBER
2;1;6;B7;VIP;LIBER
2;1;7;B8;VIP;LIBER
2;1;8;B9;VIP;LIBER
2;1;9;B10;VIP;LIBER
2;2;0;C1;STANDARD;LIBER
2;2;1;C2;STANDARD;LIBER
2;2;2;C3;STANDARD;LIBER
2;2;3;C4;STANDARD;LIBER
2;2;4;C5;STANDARD;LIBER
2;2;5;C6;STANDARD;LIBER
2;2;6;C7;STANDARD;LIBER
2;2;7;C8;STANDARD;LIBER
2;2;8;C9;STANDARD;LIBER
2;2;9;C10;STANDARD;LIBER
2;3;0;D1;STANDARD;LIBER
2;3;1;D2;STANDARD;LIBER
2;3;2;D3;STANDARD;LIBER
2;3;3;D4;STANDARD;LIBER
2;3;4;D5;STANDARD;LIBER
2;3;5;D6;STANDARD;LIBER
2;3;6;D7;STANDARD;LIBER
2;3;7;D8;STANDARD;LIBER
2;3;8;D9;STANDARD;LIBER
2;3;9;D10;STANDARD;LIBER
2;4;0;E1;STANDARD;LIBER
2;4;1;E2;STANDARD;LIBER
2;4;2;E3;STANDARD;LIBER
2;4;3;E4;STANDARD;LIBER
2;4;4;E5;STANDARD;LIBER
2;4;5;E6;STANDARD;LIBER
2;4;6;E7;STANDARD;LIBER
2;4;7;E8;STANDARD;LIBER
2;4;8;E9;STANDARD;LIBER
2;4;9;E10;STANDARD;LIBER
2;5;0;F1;STANDARD;LIBER
2;5;1;F2;STANDARD;LIBER
2;5;2;F3;STANDARD;LIBER
2;5;3;F4;STANDARD;LIBER
2;5;4;F5;STANDARD;LIBER
2;5;5;F6;STANDARD;LIBER
2;5;6;F7;STANDARD;LIBER
2;5;7;F8;STANDARD;LIBER
2;5;8;F9;STANDARD;LIBER
2;5;9;F10;STANDARD;LIBER
2;6;0;G1;STANDARD;LIBER
2;6;1;G2;STANDARD;LIBER
2;6;2;G3;STANDARD;LIBER
2;6;3;G4;STANDARD;LIBER
2;6;4;G5;STANDARD;LIBER
2;6;5;G6;STANDARD;LIBER
2;6;6;G7;STANDARD;LIBER
2;6;7;G8;STANDARD;LIBER
2;6;8;G9;STANDARD;LIBER
2;6;9;G10;STANDARD;LIBER
2;7;0;H1;STANDARD;LIBER
2;7;1;H2;STANDARD;LIBER
2;7;2;H3;STANDARD;LIBER
2;7;3;H4;STANDARD;LIBER
2;7;4;H5;STANDARD;LIBER
2;7;5;H6;STANDARD;LIBER
2;7;6;H7;STANDARD;LIBER
2;7;7;H8;STANDARD;LIBER
2;7;8;H9;STANDARD;LIBER
2;7;9;H10;STANDARD;LIBER
2;8;1;I2;STANDARD;LIBER
2;8;2;I3;STANDARD;LIBER
2;8;3;I4;STANDARD;LIBER
2;8;4;I5;STANDARD;LIBER
2;8;5;I6;STANDARD;LIBER
2;8;6;I7;STANDARD;LIBER
2;8;7;I8;STANDARD;LIBER
2;8;8;I9;STANDARD;LIBER
