nume_actiune,timestamp
read_all_utilizatori,2026-06-01T17:32:16.170200
read_assignments_by_agent,2026-06-01T17:32:16.204297
login,2026-06-01T17:32:16.205466
read_all_utilizatori,2026-06-01T18:08:44.690605
read_assignments_by_agent,2026-06-01T18:08:44.738636
login,2026-06-01T18:08:44.739930
read_all_utilizatori,2026-06-01T22:18:27.902950
read_assignments_by_agent,2026-06-01T22:18:27.950766
login,2026-06-01T22:18:27.951934
read_all_evenimente,2026-06-01T22:18:30.000869
read_tipuri_bilete_grouped_by_eveniment,2026-06-01T22:18:30.053542
read_locuri_grouped_by_eveniment,2026-06-01T22:18:30.097684
afiseaza_toate_evenimentele,2026-06-01T22:18:30.099982
read_locatie_by_id,2026-06-01T22:18:30.136186
read_locatie_by_id,2026-06-01T22:18:30.165937
read_locatie_by_id,2026-06-01T22:18:30.193075
read_locatie_by_id,2026-06-01T22:18:30.226728
read_locatie_by_id,2026-06-01T22:18:30.262504
read_locatie_by_id,2026-06-01T22:18:30.287898
read_locatie_by_id,2026-06-01T22:18:30.310437
read_locatie_by_id,2026-06-01T22:18:30.341155
read_locatie_by_id,2026-06-01T22:18:30.372680
read_locatie_by_id,2026-06-01T22:18:30.400273
read_locatie_by_id,2026-06-01T22:18:30.424498
read_all_evenimente,2026-06-01T22:18:42.437224
read_tipuri_bilete_grouped_by_eveniment,2026-06-01T22:18:42.468538
read_locuri_grouped_by_eveniment,2026-06-01T22:18:42.500669
cauta_eveniment_dupa_titlu,2026-06-01T22:18:42.501987
read_locatie_by_id,2026-06-01T22:18:42.530528
read_all_evenimente,2026-06-01T22:19:07.272963
read_tipuri_bilete_grouped_by_eveniment,2026-06-01T22:19:07.305668
read_locuri_grouped_by_eveniment,2026-06-01T22:19:07.332417
filtreaza_evenimente_dupa_categorie,2026-06-01T22:19:07.333604
read_locatie_by_id,2026-06-01T22:19:07.358497
read_locatie_by_id,2026-06-01T22:19:07.382467
read_locatie_by_id,2026-06-01T22:19:07.403224
read_locatie_by_id,2026-06-01T22:19:07.422911
read_locatie_by_id,2026-06-01T22:19:07.456323
read_locatie_by_id,2026-06-01T22:19:07.479012
read_locatie_by_id,2026-06-01T22:19:07.501994
read_locatie_by_id,2026-06-01T22:19:07.521546
read_locatie_by_id,2026-06-01T22:19:07.539226
read_locatie_by_id,2026-06-01T22:19:07.559644
read_all_evenimente,2026-06-01T22:24:35.687414
read_tipuri_bilete_grouped_by_eveniment,2026-06-01T22:24:35.717718
read_locuri_grouped_by_eveniment,2026-06-01T22:24:35.746571
afiseaza_toate_evenimentele,2026-06-01T22:24:35.748065
read_locatie_by_id,2026-06-01T22:24:35.776719
read_locatie_by_id,2026-06-01T22:24:35.804116
read_locatie_by_id,2026-06-01T22:24:35.828738
read_locatie_by_id,2026-06-01T22:24:35.850828
read_locatie_by_id,2026-06-01T22:24:35.871425
read_locatie_by_id,2026-06-01T22:24:35.891855
read_locatie_by_id,2026-06-01T22:24:35.913283
read_locatie_by_id,2026-06-01T22:24:35.934517
read_locatie_by_id,2026-06-01T22:24:35.958201
read_locatie_by_id,2026-06-01T22:24:35.979829
read_locatie_by_id,2026-06-01T22:24:36.001862
read_eveniment_by_id,2026-06-01T22:24:53.684010
read_tipuri_bilete_by_eveniment,2026-06-01T22:24:53.713851
read_locuri_by_eveniment,2026-06-01T22:24:53.742918
read_eveniment_by_id,2026-06-01T22:24:53.768255
read_tipuri_bilete_by_eveniment,2026-06-01T22:24:53.796128
read_locuri_by_eveniment,2026-06-01T22:24:53.820207
read_eveniment_by_id,2026-06-01T22:25:04.691264
read_tipuri_bilete_by_eveniment,2026-06-01T22:25:04.714090
read_locuri_by_eveniment,2026-06-01T22:25:04.734669
read_all_bilete,2026-06-01T22:25:04.755223
create_bilet,2026-06-01T22:25:04.782785
read_loc_eveniment_by_cod,2026-06-01T22:25:04.800901
read_tipuri_bilete_by_eveniment,2026-06-01T22:25:04.817311
read_eveniment_by_id,2026-06-01T22:25:04.833293
read_tipuri_bilete_by_eveniment,2026-06-01T22:25:04.849662
update_loc_eveniment,2026-06-01T22:25:04.866254
read_eveniment_by_id,2026-06-01T22:25:04.882490
update_tip_bilet_eveniment,2026-06-01T22:25:04.900397
create_comanda,2026-06-01T22:25:04.922145
cumpara_bilet_cu_loc,2026-06-01T22:25:04.923840
join_bilete_client_eveniment_locatie,2026-06-01T22:25:10.319983
afiseaza_biletele_mele,2026-06-01T22:25:10.321169
join_comenzi_client_numar_bilete,2026-06-01T22:25:17.383
afiseaza_comenzile_mele,2026-06-01T22:25:17.384202
read_all_utilizatori,2026-06-01T22:25:43.483616
